ano,id_municipio,incremento,PibPercapita,pib
2018,5106828,1.2,18687,223030060
2018,5107198,0,33091,79022313
2018,5108105,0,31750,120204219
2018,5108204,0,25599,93997860
2018,5108402,0,28312,7984209543
2018,5100102,0,14352,77844620
2018,5100300,0,48129,900148620
2018,5100409,0,44550,528714020
2018,5100607,0,84436,891390850
2018,5101209,0,20086,19201838
2018,5103908,0,40103,220046903
2018,5104906,0,21391,178961041
2018,5106653,0,13144,86464225
2018,5106703,0,15618,25019679
2018,1500107,0.6,9046,1413837872
2018,1500131,1,11137,82210098
2018,1500206,17.9,16467,914142178
2018,1500305,0,9208,357844070
2018,1500347,4.7,15530,423046877
2018,1500404,20.6,10035,566773028
2018,1500503,19.6,17327,591584898
2018,1500602,435,24050,2722306914
2018,1500701,0,7167,206818540
2018,1500800,0,14315,7523457469
2018,1500859,60.2,13583,368918415
2018,1500909,0,6720,305846148
2018,1500958,3.8,8443,260842667
2018,1501006,21.9,7213,118079456
2018,1501105,0.9,6929,207936326
2018,1501204,10.4,7472,346806911
2018,1501253,1.6,23608,78143580
2018,1501303,0.8,38739,4737586928
2018,1501402,0.9,21191,31484849366
2018,1501451,2.8,9033,159191592
2018,1501501,0.3,25772,1589870359
2018,1501576,7.5,10452,176017305
2018,1501600,0,9465,151796333
2018,1501709,0.3,8920,1127832227
2018,1501725,19.8,16582,251874474
2018,1501758,1,10576,78180054
2018,1501782,9.8,8801,569751093
2018,1501808,0.5,7987,813767524
2018,1501907,0.9,15722,453282591
2018,1501956,19.1,5408,179439409
2018,1502004,0.2,7812,183309613
2018,1502103,1.1,8334,1136608087
2018,1502152,1,197138,7106813893
2018,1502202,0.1,14974,1027476246
2018,1502301,1.5,9218,499402002
2018,1502400,0.4,19728,3911968906
2018,1502509,0,7984,187473087
2018,1502608,0,6718,80885222
2018,1502707,3.2,11578,552662056
2018,1502756,0.5,8940,293656611
2018,1502764,30.1,21930,289017265
2018,1502772,0.9,45533,820223222
2018,1502806,0.1,14591,494536494
2018,1502855,5.5,8771,124520370
2018,1502905,1.1,7355,290817244
2018,1502939,10.7,11626,685451313
2018,1502954,4.1,11216,377700456
2018,1503002,3.3,7506,54936208
2018,1503044,1.4,16943,340214954
2018,1503077,1,8407,218755218
2018,1503093,22,8517,339465802
2018,1503101,3,8177,269764757
2018,1503200,0,9202,355098898
2018,1503309,1.2,6251,389801748
2018,1503408,0.1,10914,126156176
2018,1503457,13.1,8311,519093333
2018,1503507,0.3,6569,213513172
2018,1503606,98.6,17949,1814617278
2018,1503705,32.9,9760,519057788
2018,1503754,52.6,51865,461546570
2018,1503804,2.7,8284,484234564
2018,1503903,5.4,17515,996731684
2018,1504000,0,14165,404871476
2018,1504059,0,9794,293010512
2018,1504109,0.5,9592,81749309
2018,1504208,51.5,31920,8780799385
2018,1504307,1.2,7972,234593860
2018,1504406,0.8,8312,234563972
2018,1504422,0,14707,1901872327
2018,1504455,63.7,19672,614015884
2018,1504505,1.7,6499,178160172
2018,1504604,0.3,9589,294713463
2018,1504703,34.7,11653,943781941
2018,1504802,14.5,12455,721144888
2018,1504901,0.3,6473,257499175
2018,1504950,4.7,9610,204613718
2018,1504976,3.3,8264,136342315
2018,1505007,0.5,7801,118720495
2018,1505031,194.4,22692,584493584
2018,1505064,172.6,11449,854121651
2018,1505106,24.1,12337,641072544
2018,1505205,2,12077,388501804
2018,1505304,15.2,22543,1626708866
2018,1505403,0.4,9544,169129897
2018,1505437,9,18896,610695144
2018,1505486,138,12677,595651777
2018,1505494,0.8,8620,65475108
2018,1505502,18.4,23685,2647150498
2018,1505536,2.9,78841,15995450404
2018,1505551,0.4,15834,87988366
2018,1505601,0.3,6823,55081775
2018,1505635,4,18114,235171917
2018,1505650,92.9,8103,245465444
2018,1505700,0,6928,212066553
2018,1505809,99.8,14620,893633329
2018,1505908,36.1,7661,309943929
2018,1506005,27.2,9660,288709690
2018,1506104,0.1,18437,198977064
2018,1506112,0.2,7216,97497908
2018,1506138,0.3,21460,1802562401
2018,1506161,7.7,26364,479451311
2018,1506187,25,10248,531903669
2018,1506195,52.3,7077,350354498
2018,1506203,0.3,11636,470391914
2018,1506302,0.1,7470,174981161
2018,1506351,0.2,8325,172362798
2018,1506500,0.5,10867,757959405
2018,1506559,0.2,8218,163153399
2018,1506583,17.8,18052,379857747
2018,1506609,0.1,15526,383892341
2018,1506708,13,11850,843573109
2018,1506807,38.9,16054,4858970899
2018,1506906,0.2,6776,45156834
2018,1507003,0,11825,367038750
2018,1507102,0.5,7919,142310145
2018,1507151,1.2,11082,281018655
2018,1507201,0.9,8392,267172925
2018,1507300,293.7,11187,1395724124
2018,1507409,0.1,14784,234069553
2018,1507458,1,19620,490325880
2018,1507466,0.6,7368,44644787
2018,1507474,0.9,7197,164400112
2018,1507508,4.2,8776,122342309
2018,1507607,0.7,11594,676252989
2018,1507706,0,7956,209263164
2018,1507755,2.5,17024,99576191
2018,1507805,52.1,11451,135570544
2018,1507904,0.1,7470,188092743
2018,1507953,14.3,8660,897742610
2018,1507961,0.3,6074,70408316
2018,1507979,1.6,27414,510421283
2018,1508001,17,10625,667853669
2018,1508035,0.2,7036,215701304
2018,1508050,56.2,15639,294127220
2018,1508084,1.9,19936,778683705
2018,1508100,17.2,66715,7481954333
2018,1508126,6.6,23081,1330185256
2018,1508159,84.4,11987,545609672
2018,1508209,0.1,7188,382340348
2018,1508308,4.9,7972,486663662
2018,1508357,4.5,291967,4375711214
2018,1508407,0.9,27618,1226527461
2018,1506401,0,6939,68961988
2018,1100015,14,21552,499305982
2018,1100023,17.7,23206,2463773260
2018,1100031,3.3,25837,140502269
2018,1100049,5.2,25709,2180454016
2018,1100056,0.9,28714,472178834
2018,1100064,0.5,20363,330428467
2018,1100072,6.9,42372,320628263
2018,1100080,31.1,12891,230163501
2018,1100098,5.8,18985,608397832
2018,1100106,16.1,18279,836882116
2018,1100114,1.6,28433,1476627167
2018,1100122,1.3,26287,3362336058
2018,1100130,74.4,16423,642102787
2018,1100148,0.8,18086,370024441
2018,1100155,24.2,22253,808666683
2018,1100189,20.3,31047,1131157616
2018,1100205,388.8,32043,16647157596
2018,1100254,0.4,21516,417600734
2018,1100262,6.8,28612,106521212
2018,1100288,1.8,24078,1317091417
2018,1100296,0.8,21626,146645131
2018,1100304,17.8,28420,2769483326
2018,1100320,9.6,31026,711450643
2018,1100338,151.6,17095,508701524
2018,1100346,1.8,17423,256508574
2018,1100379,7.6,21054,278480290
2018,1100403,67,15656,328751211
2018,1100452,45.6,17489,680976334
2018,1100502,0.8,18946,165797701
2018,1100601,4.8,22719,140629656
2018,1100700,22.4,20011,280341074
2018,1100809,103.6,21857,567897680
2018,1100908,1.8,36238,113026764
2018,1100924,9.7,27681,301331503
2018,1100940,73.2,14739,357076680
2018,1101005,4.8,22085,178780391
2018,1101104,17,17551,180286067
2018,1101203,0.7,21126,206232667
2018,1101302,4.5,19672,217966989
2018,1101401,17.2,18031,283002854
2018,1101435,1.3,17178,121053760
2018,1101450,7.4,17923,106590091
2018,1101468,3.5,47731,104579118
2018,1101476,1.2,20599,60539882
2018,1101484,0,16961,89556395
2018,1101492,27.1,17779,352761779
2018,1101500,9.8,19813,234980756
2018,1101559,0,20370,89303533
2018,1101609,2.6,18293,191965040
2018,1101708,0.8,18618,217176141
2018,1101757,9,14505,159963192
2018,1101807,3.1,21455,150141488
2018,1400027,12.6,13691,169684807
2018,1400050,4.7,17912,280114658
2018,1400100,0,26753,10042255412
2018,1400159,2.6,22953,281340130
2018,1400175,10,15026,268478991
2018,1400209,19.2,16093,347037868
2018,1400233,12.2,17929,178391393
2018,1400282,3.1,13784,159894100
2018,1400308,19.3,17661,309567417
2018,1400407,0,13897,153494485
2018,1400456,0,13123,204456999
2018,1400472,39.2,18536,547424928
2018,1400506,5.1,22073,177730368
2018,1400605,3.8,17694,139073011
2018,1400704,0,10755,111043156
2018,1700251,0,20438,52402193
2018,1700301,0.1,19005,124903421
2018,1701002,1.1,13642,131056669
2018,1701051,1.6,10552,36054981
2018,1701309,1,11121,64347881
2018,1701903,0.4,18024,126453090
2018,1702109,0.2,24716,4387503319
2018,1702158,0.2,11657,66015259
2018,1702208,2.7,12061,426291952
2018,1702307,0.2,43272,288624461
2018,1702554,0,13961,253786071
2018,1702901,0.1,12399,120576533
2018,1703008,0,9887,105415156
2018,1703057,0,34258,120313003
2018,1703206,0,16726,74747076
2018,1703305,0,15488,74015731
2018,1703602,0.1,18738,41055327
2018,1703800,0,8732,97767477
2018,1703826,0,12009,27213282
2018,1703842,0,30905,306489513
2018,1703883,0,14442,36914929
2018,1703891,0,9814,39834813
2018,1703909,0.2,29970,158693788
2018,1704600,0.2,17070,23914861
2018,1705508,0,20753,726144221
2018,1706001,1,21019,116360321
2018,1706506,0,30929,186127767
2018,1707108,0,17949,123060557
2018,1707207,0.4,14214,102496584
2018,1707306,1.6,24604,115317998
2018,1707405,0.2,8212,89104956
2018,1708205,2.3,18914,349562248
2018,1708254,0,72738,187372008
2018,1708304,0.1,14731,75365415
2018,1709302,0.2,25372,651471886
2018,1710706,0.5,10889,64203030
2018,1711100,0.3,17711,43126169
2018,1711803,0,13865,30531725
2018,1711902,0.9,37107,483652746
2018,1712454,0.7,11008,33685600
2018,1712504,0,24806,126362492
2018,1712801,0.2,10764,36631453
2018,1713304,0.4,19648,262797712
2018,1713700,1.2,15851,35871896
2018,1713809,0.1,10465,68754151
2018,1713957,0.5,12238,43003231
2018,1714302,0.1,11135,44084575
2018,1714880,0,22556,264337210
2018,1715705,0,16197,95872968
2018,1716307,0.2,14296,69062531
2018,1716505,0.2,39844,533117447
2018,1716653,0,13865,75466198
2018,1716703,0,17498,144705799
2018,1717206,0.7,17048,51536970
2018,1717503,0,20803,157353522
2018,1718303,0.4,8623,72133787
2018,1718402,0,13356,49311524
2018,1718501,0,10155,43096962
2018,1718550,0.3,10217,47039088
2018,1718709,0,17940,50428262
2018,1718808,0,8501,39336172
2018,1718840,0,20945,70750979
