ano,id_municipio,incremento
2019,1300508,3.8
2020,1300508,1.5
2002,1300607,1.2
2003,1300607,3.8
2004,1300607,0.3
2005,1300607,0.5
2006,1300607,0.4
2007,1300607,2.6
2008,1300607,0.6
2009,1300607,0.8
2010,1300607,0.6
2011,1300607,1.1
2012,1300607,0.3
2013,1300607,1.5
2014,1300607,0.5
2015,1300607,1.1
2016,1300607,0.4
2017,1300607,0.4
2018,1300607,0.1
2019,1300607,0.9
2020,1300607,0.1
2002,1300631,2.3
2003,1300631,5.6
2004,1300631,2.1
2005,1300631,0.7
2006,1300631,0.4
2007,1300631,0.5
2008,1300631,2.4
2009,1300631,2.2
2010,1300631,4.4
2011,1300631,2.2
2012,1300631,0.9
2013,1300631,2.4
2014,1300631,2.5
2015,1300631,2.5
2016,1300631,2.1
2017,1300631,1.7
2018,1300631,2.1
2019,1300631,2.8
2020,1300631,3.3
2002,1300680,0
2003,1300680,5.9
2004,1300680,0.3
2005,1300680,1.3
2006,1300680,1
2007,1300680,1.3
2008,1300680,0.3
2009,1300680,0.1
2010,1300680,2.7
2011,1300680,1.4
2012,1300680,0.3
2013,1300680,0.7
2014,1300680,1.8
2015,1300680,0.5
2016,1300680,0.5
2017,1300680,0.9
2018,1300680,0.6
2019,1300680,1.1
2020,1300680,0.6
2002,1300706,114.5
2003,1300706,257.6
2004,1300706,131.4
2005,1300706,61.5
2006,1300706,75.5
2007,1300706,34.1
2008,1300706,39.4
2009,1300706,24.6
2010,1300706,53
2011,1300706,60.1
2012,1300706,54.9
2013,1300706,35.3
2014,1300706,66.2
2015,1300706,47.5
2016,1300706,90.7
2017,1300706,91.2
2018,1300706,114.3
2019,1300706,148.1
2020,1300706,147.6
2002,1300805,3.3
2003,1300805,8.6
2004,1300805,8.8
2005,1300805,11.1
2006,1300805,1.7
2007,1300805,1.1
2008,1300805,8.8
2009,1300805,2.7
2010,1300805,9.2
2011,1300805,11.5
2012,1300805,1.8
2013,1300805,2.5
2014,1300805,2.4
2015,1300805,4.2
2016,1300805,1.6
2017,1300805,3.5
2018,1300805,4.2
2019,1300805,11.3
2020,1300805,12.3
2002,1300839,5
2003,1300839,10.3
2004,1300839,2.5
2005,1300839,0.8
2006,1300839,0.1
2007,1300839,1.2
2008,1300839,0.2
2009,1300839,2.2
2010,1300839,5.3
2011,1300839,1
2012,1300839,0.4
2013,1300839,0.4
2014,1300839,1.3
2015,1300839,3.7
2016,1300839,0.7
2017,1300839,1.2
2018,1300839,0.9
2019,1300839,1.3
2020,1300839,2.6
2002,1300904,24.6
2003,1300904,105.9
2004,1300904,59.8
2005,1300904,64.3
2006,1300904,72.3
2007,1300904,42.2
2008,1300904,39
2009,1300904,14
2010,1300904,12
2011,1300904,26.5
2012,1300904,53.5
2013,1300904,29.2
2014,1300904,16.2
2015,1300904,14.5
2016,1300904,26.7
2017,1300904,28.4
2018,1300904,45.2
2019,1300904,60.6
2020,1300904,62.9
2002,1301001,9.2
2003,1301001,4.3
2004,1301001,1.1
2005,1301001,2.7
2006,1301001,0.3
2007,1301001,1.5
2008,1301001,2.5
2009,1301001,0.7
2010,1301001,1.4
2011,1301001,0.5
2012,1301001,0.5
2013,1301001,0.9
2014,1301001,1.1
2015,1301001,0.3
2016,1301001,1.2
2017,1301001,0.5
2018,1301001,1.9
2019,1301001,0.6
2020,1301001,1.5
2002,1301100,28.1
2003,1301100,32.8
2004,1301100,10.9
2005,1301100,4.6
2006,1301100,6.5
2007,1301100,2.5
2008,1301100,6.5
2009,1301100,5.7
2010,1301100,10.4
2011,1301100,4.9
2012,1301100,1.3
2013,1301100,3.8
2014,1301100,0.5
2015,1301100,5.1
2016,1301100,1.5
2017,1301100,1.8
2018,1301100,0.9
2019,1301100,2.6
2020,1301100,4.4
2002,1301159,53.2
2003,1301159,5.4
2004,1301159,8.1
2005,1301159,9.1
2006,1301159,10.8
2007,1301159,9.4
2008,1301159,13.9
2009,1301159,5.6
2010,1301159,19.9
2011,1301159,12.1
2012,1301159,4.8
2013,1301159,2.8
2014,1301159,3.7
2015,1301159,9.5
2016,1301159,8.3
2017,1301159,7
2018,1301159,4.2
2019,1301159,11.8
2020,1301159,7.1
2002,1301209,6.2
2003,1301209,13.4
2004,1301209,4.5
2005,1301209,2.1
2006,1301209,0.1
2007,1301209,3.4
2008,1301209,3.1
2009,1301209,0.6
2010,1301209,6.8
2011,1301209,3.8
2012,1301209,0.9
2013,1301209,4.1
2014,1301209,3.4
2015,1301209,0.7
2016,1301209,3.3
2017,1301209,2.1
2018,1301209,2
2019,1301209,3.7
2020,1301209,4
2002,1301308,3.6
2003,1301308,5.4
2004,1301308,3.2
2005,1301308,1.3
2006,1301308,0
2007,1301308,2.4
2008,1301308,1.4
2009,1301308,1.3
2010,1301308,1.1
2011,1301308,0.8
2012,1301308,0.5
2013,1301308,1.1
2014,1301308,3
2015,1301308,1
2016,1301308,1.1
2017,1301308,1.4
2018,1301308,2
2019,1301308,2.5
2020,1301308,1.3
2002,1301407,8.4
2003,1301407,17.9
2004,1301407,7.3
2005,1301407,2.2
2006,1301407,1
2007,1301407,1.2
2008,1301407,3.4
2009,1301407,1.7
2010,1301407,5.7
2011,1301407,3.7
2012,1301407,1
2013,1301407,1.5
2014,1301407,3.3
2015,1301407,0.1
2016,1301407,1.8
2017,1301407,3
2018,1301407,4.2
2019,1301407,3.7
2020,1301407,3.3
2002,1301506,8.2
2003,1301506,26.8
2004,1301506,17.1
2005,1301506,6.8
2006,1301506,6.5
2007,1301506,9.7
2008,1301506,7.1
2009,1301506,6.1
2010,1301506,10.4
2011,1301506,7.4
2012,1301506,6.9
2013,1301506,5.4
2014,1301506,17.6
2015,1301506,5.4
2016,1301506,4.6
2017,1301506,13.7
2018,1301506,12.5
2019,1301506,14.2
2020,1301506,31.8
2002,1301605,2.8
2003,1301605,14.5
2004,1301605,0.1
2005,1301605,0
2006,1301605,0.7
2007,1301605,0.1
2008,1301605,1.9
2009,1301605,0.8
2010,1301605,2.2
2011,1301605,0.9
2012,1301605,0.2
2013,1301605,0.2
2014,1301605,1.7
2015,1301605,0.8
2016,1301605,1.5
2017,1301605,0.7
2018,1301605,0.1
2019,1301605,0.7
2020,1301605,0
2002,1301654,29.2
2003,1301654,30.2
2004,1301654,42
2005,1301654,8.5
2006,1301654,0.9
2007,1301654,2.4
2008,1301654,3.8
2009,1301654,2
2010,1301654,8.4
2011,1301654,6.9
2012,1301654,5
2013,1301654,3.2
